"날짜","파키스탄 DAU","이집트 DAU","터키 DAU","러시아 DAU","우즈베키스탄 DAU","인도네시아 DAU","사우디 아라비아 DAU","베트남 DAU","미국 DAU"
"2025-03-06","3497088","3273715","2933981","2212290","1044614","1331683","675814","605032","553279"
"2025-03-07","3580630","3646292","3170722","2606766","1214916","1433510","781483","499461","579878"
"2025-03-08","3770422","3386684","3429036","2849042","1397260","1602993","661411","763301","587240"
"2025-03-09","3625228","3151544","3181242","2464722","1240093","1489313","679774","525670","685409"
"2025-03-10","3574918","3192280","2764368","2441628","1121190","1631091","697335","592301","568986"
"2025-03-11","3453518","3253749","2842574","2387869","1176399","1430918","673858","493937","493904"
"2025-03-12","3426907","3261044","2966378","2446160","1136125","1495578","603840","475551","603008"
"2025-03-13","3537439","3551869","2938214","2397570","1151372","1568556","704176","600833","702766"
"2025-03-14","3497138","3853499","2919729","2524021","1153277","1378148","604684","686710","641922"
"2025-03-15","3562393","3469157","3229768","2644510","1174931","1564812","596282","705316","573535"
"2025-03-16","3483892","3255171","2990198","2482225","1216890","1421631","541888","715863","611927"
"2025-03-17","3381351","3392353","2540064","2449721","1070890","1465330","689806","645283","584332"
"2025-03-18","3481112","3236170","2501184","2423994","1110945","1476259","579853","626996","498962"
"2025-03-19","3333697","3031030","2563484","2381740","1127833","1265203","559530","565315","698733"
"2025-03-20","3375276","3205910","2545121","2440442","1162521","1410890","661545","636533","515763"
"2025-03-21","3512627","3404346","2812450","2531051","1263461","1335992","645252","550763","519312"
"2025-03-22","3568887","3079490","3078687","2592901","1196331","1293962","720880","616821","513573"
"2025-03-23","3670540","3034454","2762007","2481396","1167063","1546024","661721","483157","479194"
"2025-03-24","3826153","2904027","2505712","2446018","1238948","1302125","707624","537185","493554"
"2025-03-25","3441268","2924421","2483723","2466463","1088236","1423964","702209","429274","487562"
"2025-03-26","3505150","3064564","2467598","2365185","1160797","1327690","662361","431935","505109"
"2025-03-27","3521267","3226402","2608751","2477297","1100942","1440018","721411","603578","525528"
"2025-03-28","3825788","3362762","2882924","2404460","1086066","1521126","751435","589762","545624"
"2025-03-29","3916147","3496751","3009249","2319539","1191623","1397102","664232","615307","592814"
"2025-03-30","3669820","3819970","3245449","2413171","1296463","1427023","654601","550561","560528"
"2025-03-31","3566512","3506457","3115662","2300153","1083776","1394552","684377","510942","543510"
"2025-04-01","3930458","3366021","3161389","2294836","1044525","1479084","699546","593617","531693"
"2025-04-02","3505729","3287259","2926371","2313224","1017889","1177459","621394","561415","540399"
"2025-04-03","3533505","3050043","2858755","2208429","1000362","1272578","685621","515964","526134"
"2025-04-04","3414618","2935166","3016643","2277897","991837","1280551","623925","600972","511196"
"2025-04-05","3547527","2797343","2951862","2325754","1017011","1296324","548881","708301","516551"
"2025-04-06","3331813","2754645","2806498","2182892","1031065","1323802","646035","589801","533329"
"2025-04-07","3161615","2615361","2437748","2205885","974334","1405798","574273","781404","485304"
"2025-04-08","3091103","2570059","2288456","2291547","958367","1215905","587469","562362","475952"
"2025-04-09","3052253","2677189","2467509","2330211","898036","1260963","592452","498490","462550"
"2025-04-10","3135970","2658805","2385290","2422920","976060","1271727","574929","729530","483380"
"2025-04-11","3236641","2924903","2627841","2489946","1012932","1262018","622987","750017","488267"
"2025-04-12","3104295","2614885","2819072","2406039","1126762","1431907","549188","572579","501964"
"2025-04-13","3216703","2536523","2788592","2308946","999146","1230112","495565","699405","545339"
"2025-04-14","3053780","2457516","2335246","2299310","941855","1231262","565848","493911","506137"
"2025-04-15","2969525","2459348","2298695","2376916","965147","1215105","595583","570785","475123"
"2025-04-16","2962696","2516312","2245773","2329718","886646","1276712","530376","596289","432164"
"2025-04-17","3013950","2662127","2221884","2287148","917384","1267499","518522","591522","409312"
"2025-04-18","3353162","2852474","2490331","2222055","941765","1264537","492660","628600","467663"
"2025-04-19","3203953","2527844","2675895","2149111","1067086","1350628","599507","723765","646194"
"2025-04-20","3346359","2468778","2651334","2270187","984665","1344191","542395","808278","480080"
"2025-04-21","2924405","2618602","2317621","2212557","876988","1316321","537334","641992","385385"
"2025-04-22","2974327","2361336","2337074","2225363","876436","1239562","505305","667490","544052"
"2025-04-23","3036416","2479430","2453812","2080319","947784","1157226","576882","687160","415849"
"2025-04-24","3059573","2688206","2347111","2020670","877672","1094050","459758","597759","391122"
"2025-04-25","3198373","2563545","2441982","2113046","940547","1135041","552789","602266","483481"
"2025-04-26","3210758","2209448","2517593","2142805","1054734","1227025","465706","607139","572026"
"2025-04-27","3177629","2057812","2409762","2071513","1021926","1103891","442144","667751","476933"
"2025-04-28","2856532","2313366","2111205","2031059","947411","958528","476939","604609","463197"
"2025-04-29","2973857","2448815","2013670","2026665","907091","1017054","525566","802414","421748"
"2025-04-30","2965247","2780250","2248809","2150311","834522","1067189","620676","847351","406990"
"2025-05-01","2780327","2643302","2407065","1960406","874086","1078645","451098","772418","417129"
"2025-05-02","2959002","2626369","2196249","2183691","868726","1082537","485799","670937","425648"
"2025-05-03","3121427","2379996","2416398","2085752","901959","1122232","449434","765741","444405"
"2025-05-04","3030451","2184871","2261093","1979458","902152","1054318","530263","685248","457957"
"2025-05-05","2675180","2130177","1916174","1979290","832310","829748","541695","484341","473665"
"2025-05-06","2685327","2289329","1965457","1884306","846781","912761","518732","439006","480618"
"2025-05-07","2844802","2295077","1830265","1999155","910747","963723","422711","499467","454741"
"2025-05-08","2842503","2444362","2098985","2019318","940009","977143","502594","539651","477736"
"2025-05-09","3268667","2426334","2148047","2170999","959989","990266","506812","584616","495838"
"2025-05-10","3147572","2419369","2334735","2086792","1030017","1025450","546824","609547","540559"
"2025-05-11","3253463","2391853","2349306","2033698","988571","1139059","522655","757050","622012"
"2025-05-12","2900012","2280073","1863546","2064238","875943","1185696","489454","577321","724500"
"2025-05-13","2882135","2344753","1911644","2116960","949684","965748","516845","689522","754486"
"2025-05-14","3181792","2310034","1801933","1903410","857072","976205","482539","599252","727689"
"2025-05-15","2869021","2419051","1763728","1990000","851701","1039500","687748","804187","751981"
"2025-05-16","3348563","2264311","1988700","1997757","802881","943553","527742","743316","770688"
"2025-05-17","3217795","2237430","2227407","2062491","864388","1010874","515889","872806","749530"
"2025-05-18","3176781","2272296","2151487","1983283","830262","1053160","530980","866966","697168"
"2025-05-19","2872042","2249183","2030390","1943442","800615","885491","542179","718869","710763"
"2025-05-20","3004692","2169484","1694249","1930362","878088","978742","590001","659420","669806"
"2025-05-21","3234977","2147457","1658982","1941813","852771","740686","447505","866431","638679"
"2025-05-22","2922250","2453040","1658217","1917414","868820","930837","539452","657344","612553"
"2025-05-23","3110722","2320902","1793370","1936748","859785","815201","475089","665320","556424"
"2025-05-24","3124307","2226004","1930573","1770803","991302","971321","535905","718964","551124"
"2025-05-25","3177679","2362374","1728636","1667708","901823","1005700","478356","884090","552790"
"2025-05-26","2974945","2239640","1523321","1816974","834492","864166","526377","801981","509245"
"2025-05-27","3250412","2532092","1401944","1810682","928705","930545","563951","672815","578023"
"2025-05-28","3132180","2667999","1435942","1798729","962588","942476","522487","665461","577018"
"2025-05-29","3010217","2793920","1513149","1806118","937966","853714","520592","714813","636432"
"2025-05-30","3101667","2709044","1708168","1833401","857029","923869","590635","675540","648092"
"2025-05-31","3061281","2787295","1821770","1718428","1004932","945161","531470","656138","638526"
"2025-06-01","3208508","2717656","1829583","1717984","938176","897656","493909","624477","556730"
"2025-06-02","2975055","2583039","1718522","1773807","863105","756062","422659","641608","572786"
"2025-06-03","3007886","2627149","1723290","1835226","874843","775273","493094","823506","518620"
"2025-06-04","3026161","2984905","1821914","1896260","837749","813912","567606","709806","536188"
"2025-06-05","3286167","3191362","1901101","1853375","929713","978968","532535","813848","564058"
"2025-06-06","3192118","3226428","1953635","1857744","1089416","922105","567199","747864","565898"
"2025-06-07","3373129","3166758","1987639","1775707","1006387","866806","722242","787567","572774"
"2025-06-08","3560959","3017544","1925919","1818042","960921","834529","619980","858907","575801"
"2025-06-09","3457940","3064449","1870350","1726560","836507","860057","614159","767964","602323"
"2025-06-10","3333935","2962978","1774596","1787615","944653","955782","571836","780179","546282"
"2025-06-11","3144248","3015767","1797323","1734739","902131","962440","574394","727983","575431"
"2025-06-12","3238666","2981939","1733947","1776467","854843","821477","600435","830935","520844"
"2025-06-13","3299645","3061609","1745940","1793903","896837","973395","701589","688617","536747"
"2025-06-14","3201006","2897923","1700431","1719396","820863","870514","532061","797433","578871"
