"날짜","파키스탄 DAU","이집트 DAU","터키 DAU","러시아 DAU","우즈베키스탄 DAU","인도네시아 DAU","사우디 아라비아 DAU","베트남 DAU","미국 DAU"
"2025-12-01","2281502","1727463","1353779","1927066","775979","614112","345480","247380","459874"
"2025-12-02","2123691","1809606","1343111","1959156","869205","658271","352059","205993","405107"
"2025-12-03","2258593","1851687","1418701","2101983","864192","644591","393069","273921","429473"
"2025-12-04","2310374","2081027","1415035","2080968","899009","705936","363590","295971","462371"
"2025-12-05","2420823","2161052","1641687","2175744","926800","741737","402323","334342","497442"
"2025-12-06","2593626","1858929","1850827","2264074","967763","700891","346337","291313","572966"
"2025-12-07","2565230","1827326","1802634","2269945","1006428","712809","377245","329227","501822"
"2025-12-08","2416095","1921609","1508259","2057747","990647","700331","366454","338441","483969"
"2025-12-09","2329439","1881531","1481560","2034025","890779","670252","313382","372050","409081"
"2025-12-10","2409236","1916914","1478666","2102825","864787","624171","462202","371467","410715"
"2025-12-11","2350601","1978120","1405304","2126657","809457","691228","459208","388405","383270"
"2025-12-12","2344949","1958647","1646715","2185779","904944","671570","463330","474521","409388"
"2025-12-13","2590850","1842868","1819627","2260528","999610","786274","426706","471166","543133"
"2025-12-14","2415792","1925109","1707590","2243499","983337","764669","449492","366330","754174"
"2025-12-15","2343477","1817066","1540526","2084705","878016","691311","407413","308645","712357"
"2025-12-16","2310467","1763304","1435875","2110540","933331","742819","417453","277031","644768"
"2025-12-17","2323227","1924492","1388289","2075384","947782","775929","465466","351961","626802"
"2025-12-18","2542041","1905870","1453155","2140565","902356","731595","385324","336058","676708"
"2025-12-19","2632303","2039828","1556008","2201509","939734","722865","450906","322236","691972"
"2025-12-20","2732324","1897871","1715934","2344258","1004186","827457","398354","333544","709615"
"2025-12-21","2806546","1729418","1760445","2135730","1052174","836402","345201","369033","653940"
"2025-12-22","2754225","1735832","1380314","2031602","945480","819491","367951","322766","596852"
"2025-12-23","2788293","1791115","1447803","2023951","1068519","789392","323470","309387","528390"
"2025-12-24","2824571","1800081","1408926","1957010","1005258","787589","348187","289737","601001"
"2025-12-25","3083295","1843959","1484487","2050774","995174","869237","376601","290091","713251"
"2025-12-26","2655933","1992139","1665428","2008926","1063586","869642","408332","333304","416646"
"2025-12-27","2979310","1879748","1860652","1948674","1100000","857948","370198","405093","574362"
"2025-12-28","2885679","1826701","1809874","2002943","1170685","835413","370867","352557","654214"
"2025-12-29","2721898","1835534","1772088","2074974","1045165","873003","403046","312682","624417"
"2025-12-30","2855186","1860503","1782360","2057155","1113983","873083","368031","311281","592824"
"2025-12-31","2956461","1914598","2090662","2078008","1131861","907734","384191","372861","574924"
"2026-01-01","2770920","2070802","2130778","2099772","1138494","887110","396602","452616","513773"
"2026-01-02","2813753","1969727","2095550","2185217","1144578","778592","392643","500483","585687"
"2026-01-03","2942353","1708317","2267095","2052739","1147589","784416","345641","479013","632953"
"2026-01-04","2702359","1793699","2136395","2133908","1113195","853439","399360","377538","551155"
"2026-01-05","2625679","1942914","1821309","2053745","1010104","758736","400122","297435","536462"
"2026-01-06","2517703","1936357","1826751","2049735","1015594","757391","388558","282957","500044"
"2026-01-07","2696768","2181164","1950337","2106515","1023253","704159","349555","342474","404532"
"2026-01-08","2548454","1984925","2080171","2249038","1034323","761787","415214","341573","359508"
"2026-01-09","2818171","2127854","2264064","2210199","1105539","759729","408541","338216","373049"
"2026-01-10","2992941","1808686","2438950","2207238","1033710","752620","389987","416095","423878"
"2026-01-11","2986340","1927511","2567410","2102151","1102055","787026","385938","509650","460061"
"2026-01-12","2420392","1933049","2444634","2136049","989067","810925","358399","311740","449205"
"2026-01-13","2802978","1965722","2580628","2051079","1007475","809409","345741","340107","429483"
"2026-01-14","2656943","2121000","2689254","2192463","1005085","808300","396139","297546","410764"
"2026-01-15","2608229","2412886","2485615","2166201","962932","911264","438951","291377","418142"
"2026-01-16","2822591","2673877","2774226","2183548","1023708","867426","413575","370287","411297"
"2026-01-17","2920395","2549763","2724258","2302327","1093474","822651","432045","485594","452901"
"2026-01-18","2765283","2615740","2799447","2199143","988069","900043","387343","360012","567354"
"2026-01-19","2721273","2616968","2846080","2042245","904441","711784","341420","437846","598849"
"2026-01-20","2614162","2663915","2905264","1998682","1021134","759174","391820","433710","647560"
"2026-01-21","2616874","2624166","2984490","2053495","932373","830054","357075","299977","571961"
"2026-01-22","2705813","3008444","3039718","2050726","970154","849182","369349","301123","480864"
"2026-01-23","2796236","3173350","3200342","2312936","1026929","902942","460854","322202","497419"
"2026-01-24","2825797","3095641","3062811","2243504","1067656","873497","342776","360236","466153"
"2026-01-25","2693660","2978931","3135857","2205080","1050478","789876","328220","399832","469999"
"2026-01-26","2400885","2960597","3133847","2103783","979964","748027","424577","313373","479416"
"2026-01-27","2745252","3111796","3215613","2258140","1040727","822021","282739","234155","484072"
"2026-01-28","2567276","2908165","3140058","2105089","1043371","708123","312270","243108","483802"
"2026-01-29","2533174","3085281","3280092","2079329","1000438","670428","296419","266687","491411"
"2026-01-30","2797458","3167240","3176403","2221351","1021987","671388","400342","339037","518951"
"2026-01-31","2926358","2969273","3273429","2233936","1162958","792302","337750","439961","514556"
"2026-02-01","2948238","2943760","3021791","2119807","1020954","686088","337153","485777","593027"
"2026-02-02","2735531","3087904","2638585","1900814","945335","702350","368610","231441","647399"
"2026-02-03","2831238","2965894","2616492","1982246","926729","840893","339966","247698","541336"
"2026-02-04","2776023","2917553","2450749","2010324","995951","743467","402561","320519","482247"
"2026-02-05","3080707","3253198","2635913","1941180","1032227","761236","415750","314434","479452"
"2026-02-06","2908413","3189397","2904838","2018957","1032089","854870","496448","275602","540333"
"2026-02-07","2839445","2791001","3155067","2058874","1115948","786490","467151","586916","569568"
"2026-02-08","3068134","2684223","3162443","2081691","1095879","801561","439540","424141","602862"
"2026-02-09","2600464","2608838","2745812","1957006","1046189","876663","398911","324089","528868"
"2026-02-10","2641456","2682613","2722355","1897627","985073","830273","437046","356232","551387"
"2026-02-11","2397620","2593434","2703282","2050501","1040502","774263","446489","436580","473774"
"2026-02-12","2488040","2746492","2830814","2069558","1055608","833439","439760","422168","446669"
"2026-02-13","2761957","3047727","2943747","2159240","1076460","792567","473184","365560","391595"
"2026-02-14","2891135","2775238","3269718","2169207","1041801","827591","414112","452916","414554"
"2026-02-15","2880013","2694576","3049714","2160843","1136245","856105","382890","465320","552496"
"2026-02-16","2551169","2565487","2718761","2076368","1153681","852963","421414","462132","506184"
"2026-02-17","2869219","2633980","2670639","2054176","1079302","830087","415325","438523","355824"
"2026-02-18","2800593","2781483","2830657","1998015","977987","786736","464799","393173","324238"
"2026-02-19","3155757","3165397","3002021","1952107","963922","929452","475004","515223","350833"
"2026-02-20","3350515","3305538","3288750","2133331","1012754","848795","475997","387245","400628"
"2026-02-21","3469263","3285337","3517216","2180050","1022027","993380","507713","359814","452082"
"2026-02-22","3385028","3171236","3467586","2150955","1082078","896812","502232","354523","420583"
"2026-02-23","3052510","2935660","3028730","1974578","1061285","920183","444405","245926","388022"
"2026-02-24","3300124","2970719","2965578","1865957","1034585","1050858","558448","313855","391570"
"2026-02-25","3324136","3010601","2994869","1826536","1045392","901534","526335","309029","354412"
"2026-02-26","3382777","3144731","2900568","1711933","1020272","885554","484580","386562","349555"
"2026-02-27","3299879","3145367","3155546","1839120","1015464","1023751","519669","395472","362112"
"2026-02-28","3348208","2924374","3382982","1871491","1078938","960939","407068","434536","356115"
"2026-03-01","3278251","2931438","3299086","1809120","950722","950005","415745","372588","390908"
"2026-03-02","3237499","3041396","2876282","1710658","939802","1033888","432389","290554","396494"
"2026-03-03","3320350","3071384","2928282","1707928","1037811","899797","523243","290918","383984"
"2026-03-04","3161925","3093725","2852296","1669523","1022541","1060732","529939","329837","403568"
"2026-03-05","3321880","3246784","2784708","1676219","979231","1067654","551888","345176","391631"
"2026-03-06","3279428","3463275","3050839","1791038","1030580","1085565","484144","340412","408735"
"2026-03-07","3572216","3150997","3302213","1765090","1104889","1052234","462871","396748","404325"
"2026-03-08","3307241","3201530","3052548","1931273","1118926","1140824","489627","416281","451490"
"2026-03-09","3358119","3286784","2731139","1765262","1123102","1140384","431307","386390","432317"
"2026-03-10","3257572","3106465","2822970","1740397","999256","1224409","438630","346248","403478"
"2026-03-11","3435014","3211679","2945115","1749736","1161344","1147819","478345","379632","355942"
"2026-03-12","3534924","3322958","3025027","1963734","1081231","1270955","480090","579337","370585"
"2026-03-13","3492394","3657121","3257130","2154451","1051117","1161493","498004","395947","415692"
"2026-03-14","3563699","3236673","3360640","2104055","1105788","1096512","551332","428701","468640"
"2026-03-15","3668167","3270606","3460377","2059813","1085275","1161391","501510","441851","485590"
"2026-03-16","3345818","3284423","3240391","1843457","993202","1180632","511268","500946","506927"
"2026-03-17","3408797","3269912","3124659","1792231","1003506","1156744","464633","335370","486204"
"2026-03-18","3521029","3374583","3084470","1828516","1019268","1146197","504266","394423","422749"
"2026-03-19","3551859","3751723","3179228","1791247","1095845","1153253","558370","340234","387116"
"2026-03-20","3673018","3925661","3430051","1808043","1116356","1303162","464519","348730","382545"
"2026-03-21","3477786","3831236","3088966","1826508","1081767","1146107","544934","363785","481891"
"2026-03-22","3596518","3688725","2898644","1676187","1014740","1228538","476400","372692","466131"
"2026-03-23","3100947","3381952","2406875","1645261","1018931","1114574","516913","368796","492475"
"2026-03-24","2965989","3263432","2418007","1589026","1019878","1135397","531821","307896","440881"
"2026-03-25","2987603","3489208","2417320","1566472","1034414","1074169","519691","285550","450790"
"2026-03-26","2878102","3521326","2346373","1638956","940045","1120822","474574","321830","363678"
"2026-03-27","3138076","3662685","2525214","1645039","996816","1038099","495927","359621","356128"
"2026-03-28","2883891","3104285","2711325","1823580","1079603","1119875","414926","454772","476564"
"2026-03-29","3132102","3057387","2637032","1610430","960748","1149433","447542","466853","506075"
"2026-03-30","2798936","2986274","2261374","1539239","904759","992482","462491","336627","446022"
"2026-03-31","2698560","3224141","2231227","1490153","850104","1084964","414552","272336","428486"
"2026-04-01","2763404","3165619","2335843","1528439","942510","1055860","476539","269830","431451"
"2026-04-02","2637024","3564500","2289877","1540223","902944","1121896","410987","269761","450247"
"2026-04-03","2821782","3452653","2584063","1654250","941032","1150143","460255","365185","365247"
"2026-04-04","2808291","2998692","2697434","1676082","1113793","1175705","429673","383107","361178"
"2026-04-05","2765235","2881552","2519618","1582079","990030","1053018","474644","298646","393215"
"2026-04-06","2723031","2780391","2246278","1557471","953378","1081075","470135","275278","463970"
"2026-04-07","2730469","2912614","2210032","1493364","1046554","1040413","478494","245268","459624"
"2026-04-08","2688629","3028605","2482819","1567147","1010541","1140696","477723","218861","405473"
"2026-04-09","2834587","3189253","2342421","1472431","1031697","1046349","563449","223958","363300"
"2026-04-10","2760873","3299753","2608158","1528801","965822","1032518","545709","237945","369356"
"2026-04-11","2881242","3082223","2713110","1601903","994911","1027699","443759","256153","381500"
"2026-04-12","2797124","3061220","2622504","1664652","934903","987135","490238","281888","411603"
"2026-04-13","2607136","3161534","2309421","1486285","978533","994837","484262","254706","442777"
"2026-04-14","2464794","2791364","2162080","1495807","942028","996715","458256","227984","467024"
"2026-04-15","2656115","2835436","2394631","1430183","891150","974809","438974","202719","493023"
"2026-04-16","2654808","2975839","2420544","1407795","885988","967881","545127","205632","416018"
"2026-04-17","2999405","3052888","2296484","1522117","916164","946624","476393","231640","409515"
"2026-04-18","2871879","2744377","2237844","1450103","883409","957063","489837","263932","363401"
"2026-04-19","3076867","2683262","2091527","1339589","786786","896103","473092","313556","415003"
"2026-04-20","2648804","2761533","1731576","1290037","834626","891653","452427","329641","420273"
"2026-04-21","2704729","2831982","1841431","1306704","866496","883414","458368","364837","438828"
"2026-04-22","2723376","2690872","1914004","1247426","889501","796916","526690","345456","445072"
"2026-04-23","2643516","2896259","1991475","1362154","833559","849691","517876","291291","490397"
"2026-04-24","2748528","3139754","1902647","1465561","954750","807164","560542","330542","481872"
"2026-04-25","2957104","2872371","1951690","1554017","901923","897012","549388","444940","472185"
"2026-04-26","2728412","2653401","1878041","1522976","960542","901480","389204","456586","456240"
"2026-04-27","2574936","2770808","1625622","1434239","917767","749357","454892","364043","492915"
"2026-04-28","2667505","2656025","1726406","1536152","881365","854660","450141","347732","531723"
"2026-04-29","2525508","2778472","1659381","1426727","979631","804531","502430","408434","516854"
"2026-04-30","2691735","2800739","1762799","1358819","919089","880175","526783","522899","510124"
