"날짜","인도네시아 DAU","베트남 DAU","브라질 DAU","멕시코 DAU","파키스탄 DAU","태국 DAU","알제리 DAU","콜롬비아 DAU","페루 DAU"
"2025-10-31","9015545","6329210","4954264","5239122","4095726","2939015","2220451","1392437","1438281"
"2025-11-01","9450199","7720065","5742012","5368713","4137312","2444523","2057316","1434445","1507916"
"2025-11-02","9757756","6691958","5828347","5620153","4183545","2317903","1541744","1453173","1666078"
"2025-11-03","8164696","5948608","4960177","5102333","3720954","1958130","1482077","1401088","1311810"
"2025-11-04","8479842","5321741","4460947","4735419","3401438","1762278","1509872","1311424","1386585"
"2025-11-05","7900370","5521524","5114021","4685091","3407298","1862089","1397390","1235146","1242054"
"2025-11-06","8412465","5098608","4782415","4815314","3505967","1824851","1679577","1421300","1131217"
"2025-11-07","8534451","6173397","5002500","4543867","3536149","1971191","1842175","1413242","1307152"
"2025-11-08","8852140","7616281","5510641","4929345","3890922","1923552","1685826","1337124","1413225"
"2025-11-09","8856353","6087381","5229741","4882571","4000473","2073493","1314721","1637159","1451066"
"2025-11-10","7692045","4830481","4481043","4670639","3494165","1988844","1270861","1473886","1321407"
"2025-11-11","7299871","4896369","4612652","4463810","3431775","1920998","1347230","1375894","1106876"
"2025-11-12","7091855","4990154","4450096","4457508","3438504","2282901","1379144","1368558","1224302"
"2025-11-13","8446475","4686877","4501832","4171723","3394603","2425587","1521827","1296813","1236296"
"2025-11-14","8995361","5348454","4702372","4646603","3537581","2554013","1775351","1275624","1421557"
"2025-11-15","9441864","6621075","5921917","4823822","3811137","2514306","1559783","1337553","1372142"
"2025-11-16","8722433","6325238","5586470","4780602","3851227","2300170","1261841","1283004","1452047"
"2025-11-17","8528407","5205889","4552218","5309531","3236426","2500443","1374095","1394773","1139401"
"2025-11-18","8188800","6080194","4942408","4394409","3328107","2599767","1459421","1209322","1032928"
"2025-11-19","8413794","5441379","4925025","4229190","3403357","2039685","1193902","1244232","1149777"
"2025-11-20","8701653","5962945","5756769","4300900","3375781","2223769","1534493","1219127","1160700"
"2025-11-21","8878223","5970441","5304257","4899848","3867402","2263131","1840578","1270835","1250351"
"2025-11-22","9545258","6362426","5301524","4618525","3903584","2292511","1392204","1345407","1384379"
"2025-11-23","8895755","5593881","5472916","4869577","3751040","2528041","1266310","1335058","1314656"
"2025-11-24","8229057","4323881","4570371","4186821","3242084","2209179","1159127","1286107","1132653"
"2025-11-25","8973971","4613092","4292709","4396857","3512891","1901474","1295102","1402215","1272140"
"2025-11-26","8981531","5185002","4662348","4388198","3205839","2087941","1092522","1230786","1260626"
"2025-11-27","8252354","4494619","4576729","4174562","3446380","2002250","1494749","1357717","1259241"
"2025-11-28","9466598","4915366","4967307","4095576","3669693","2264554","1818314","1367563","1193428"
"2025-11-29","9545514","5574977","5083263","4234163","3862425","1963880","1474981","1497305","1293624"
"2025-11-30","9537464","6140515","5576512","4512761","3931321","2278258","1258754","1384044","1662791"
"2025-12-01","8841413","4461779","4756311","4105744","3524182","2133980","1349966","1413482","1274305"
"2025-12-02","8906669","4348298","4608347","4090702","3523625","2177612","1234306","1241772","1410074"
"2025-12-03","9316750","4097410","4506255","3982868","3572549","2115528","1075692","1411818","1338616"
"2025-12-04","8997305","5480026","4951535","4264461","3482471","2002665","1408358","1309273","1320867"
"2025-12-05","10505094","5288103","4911964","4374696","3757753","2071721","1447316","1520922","1354440"
"2025-12-06","10308349","5749654","5081433","4300702","3900128","2167561","1143865","1390308","1531009"
"2025-12-07","10787781","6230838","5527907","4284648","3877185","2415238","1070950","1354329","1540790"
"2025-12-08","10424584","4419256","5046061","4211771","3496545","2260835","854556","1294033","1496430"
"2025-12-09","10180799","4899617","4915877","4050207","3461468","2370120","1025167","1299700","1337199"
"2025-12-10","10235662","5160828","5019975","4231480","3432525","2124131","1077874","1321417","1265720"
"2025-12-11","10521353","5257080","4952975","4273685","3427969","2034811","1782815","1296566","1161880"
"2025-12-12","10866407","5552723","5262045","4921795","3779154","1963177","2145757","1580461","1375845"
"2025-12-13","11364493","6841663","5231473","4596118","3884026","2134310","1877826","1343557","1266006"
"2025-12-14","11108765","5748272","5660112","4266060","3807615","2166434","1553959","1548341","1284132"
"2025-12-15","11497550","4797061","5150399","4727869","3436262","1864765","1620236","1314959","1175161"
"2025-12-16","11446983","4880580","5636006","4440794","3621000","1710146","1786606","1391659","1266647"
"2025-12-17","11365295","5551827","5584777","4373170","3679568","1928727","1908282","1456874","1540918"
"2025-12-18","11970162","4957399","5729910","4701296","3557491","1663871","1971885","1460146","1378619"
"2025-12-19","12131746","5162902","5713954","5024271","4254742","1902677","2233151","1444041","1525735"
"2025-12-20","12441005","5599080","6147262","4742552","4120833","2383264","2057971","1641961","1516121"
"2025-12-21","12983039","5862714","6044707","5158866","4214081","2065344","2042215","1534198","1751146"
"2025-12-22","12618842","4038998","5678992","5060613","4037655","1867085","2127678","1373710","1698082"
"2025-12-23","12222621","5053613","5660668","4850796","3809966","2074335","1997266","1675450","1565498"
"2025-12-24","12433624","4480943","6360281","5253547","4168013","1891250","2149544","1477553","1769106"
"2025-12-25","13273371","5570463","7586678","5873598","4084338","2194504","2119069","1834197","1948327"
"2025-12-26","13181681","4926504","5550440","5108996","4100273","1972271","2203508","1889329","1839131"
"2025-12-27","14363755","5394419","6098121","4968595","4305157","2222204","2040183","1689150","1592649"
"2025-12-28","13725272","5829865","6602398","5089480","4373952","1930828","1891253","1846506","1624423"
"2025-12-29","13592839","4491999","6114550","4688128","4213071","2059741","1826634","1520569","1626920"
"2025-12-30","14450934","5238145","5770187","5618839","4131172","2261394","1802606","1469165","1627206"
"2025-12-31","14928468","6390864","6290480","5037281","3980040","2643724","1748123","1575947","1496102"
"2026-01-01","13834724","6492363","6860121","6087691","4135224","2409483","1907863","2044118","1674159"
"2026-01-02","13910311","6974968","6308054","5536987","4244564","2404779","2000805","1633471","1579846"
"2026-01-03","13917480","5982040","6892135","5566034","4087935","2426660","1830957","1784325","1528771"
"2026-01-04","12993919","6297473","7054501","5366766","4094344","2277889","1252001","1752533","1464547"
"2026-01-05","12895860","5083828","6779950","4760634","3913381","1970039","1254565","1799313","1565260"
"2026-01-06","12841986","4694373","6171271","5302439","3826188","1997947","1340987","1759900","1410290"
"2026-01-07","12984525","4867840","6349820","5184194","3742879","1801899","1240375","1639974","1552816"
"2026-01-08","12657035","4859351","6484132","5291101","3961361","1895957","1310216","1700428","1412440"
"2026-01-09","12985238","6275850","6216116","5295796","4003757","2356464","1468847","1667895","1580141"
"2026-01-10","13769655","6420719","6527337","5293147","4150561","2396810","1301582","1821946","1268755"
"2026-01-11","13639455","6017866","6815553","5428620","4020990","2517362","1320316","1759331","1604300"
"2026-01-12","12285736","4820901","6257156","5096944","3768406","2351280","1367131","1919527","1299430"
"2026-01-13","12723033","5004006","6517564","4878334","3752556","2233754","1211033","1783420","1384068"
"2026-01-14","13337643","5605387","7979306","5628955","4244238","2851456","1339691","2028856","1748283"
"2026-01-15","14718394","6104776","7645163","5412238","4146917","2975523","1526092","1953555","1562331"
"2026-01-16","14810799","5989132","7369266","5750432","4232460","2912311","1831258","1794297","1389476"
"2026-01-17","15207277","7111120","7582931","5271024","4329559","2620135","1620424","1879017","1756490"
"2026-01-18","13830759","6435846","7942319","6329630","4116605","2624089","1390563","1955824","1640294"
"2026-01-19","13584820","5194136","7954917","5630074","3770078","2666979","1389848","1981519","1654613"
"2026-01-20","13338815","5210944","7343813","5337133","3898074","2343935","1260673","1824186","1556677"
"2026-01-21","13795930","4898006","7530324","5677158","3750758","2644717","1428117","1924669","1583337"
"2026-01-22","13934918","4652030","7291428","5828144","3589216","2639611","1550256","1910938","1472908"
"2026-01-23","15025038","4883050","7648184","5687351","3761334","2786891","1789011","1777230","1613310"
"2026-01-24","16187099","7352038","8045688","5955509","4131786","3182377","1482789","1816064","1655819"
"2026-01-25","14848766","6201835","8016115","5993103","4047778","2718230","1397965","1856443","1700244"
"2026-01-26","13461177","4628469","7842846","5780868","3589833","2627020","1436794","1779656","1444041"
"2026-01-27","13912376","4796132","7749572","5411286","3701100","2789062","1517560","1818134","1518212"
"2026-01-28","14191646","5711709","7423439","5564990","3625161","2832823","1630491","1892507","1420388"
"2026-01-29","14416065","5583379","7148478","5662101","3469089","2699383","1646603","1731123","1547522"
"2026-01-30","15479583","6425769","7670310","6061188","3966530","2670637","1873491","1825671","1499042"
"2026-01-31","16407702","6976003","8168605","5815082","3861447","2852590","1530693","1867569","1558346"
"2026-02-01","15599415","7283575","8342709","6173695","4160548","2611516","1041432","1875644","1684343"
"2026-02-02","14303603","5030261","6722305","5921352","3477628","2747573","1277890","1752566","1526433"
"2026-02-03","14780327","5569998","6637111","5604781","3513322","2763481","1181057","1735222","1509825"
"2026-02-04","14960402","5387966","6822263","5951948","3979866","2734947","1193095","1608425","1532367"
"2026-02-05","15415256","5691708","6831116","5360398","3837577","2847737","1455082","1671158","1530697"
"2026-02-06","16539179","6074001","6825816","5657209","3768988","2818053","1615820","1589329","1578545"
"2026-02-07","17175130","7332013","7794776","5932730","3903330","2824086","1270913","1731609","1603972"
"2026-02-08","16048519","7184493","7718821","5929221","3933536","3030218","1012658","1746713","1574919"
"2026-02-09","15183940","5708349","6322585","5407348","3542546","2711938","1060867","1536030","1518718"
"2026-02-10","15488623","6032249","6345919","5084854","3769705","2306157","1095558","1585068","1545946"
"2026-02-11","15038211","6537346","6431351","4920354","3541596","2721578","1279772","1716074","1466565"
"2026-02-12","14852079","6483502","6291295","5479483","3590876","2536272","1647810","1708666","1502116"
"2026-02-13","16157526","7499644","6856034","5579587","3621984","2766558","1721521","1677051","1704520"
"2026-02-14","17402236","7841615","7924081","6083820","3804345","2945833","1548603","1735262","1552115"
"2026-02-15","16981438","8272937","8240456","6176521","3603980","2883586","1141458","1812839","1655133"
"2026-02-16","17153994","8838674","8158796","5398592","3600872","2647022","1240683","1720971","1609119"
"2026-02-17","17385250","8275280","7958076","4884620","3308318","2598224","1388488","1620711","1604525"
"2026-02-18","18404576","8941528","7589222","5049181","3463894","2765138","1408432","1449542","1498984"
"2026-02-19","18648649","8589345","6315716","4862804","3648773","2758195","1896790","1562403","1558268"
"2026-02-20","18239867","7587102","6558275","4861423","3815063","2703637","1845208","1699653","1560992"
"2026-02-21","18387883","6503497","7784802","5399719","3887965","3031085","1695770","1732730","1571352"
"2026-02-22","17582622","5856965","7638212","5514868","3919419","2486987","1744306","2066188","1546047"
"2026-02-23","17308803","5500072","6374741","5283318","3700302","2595869","1571099","1787030","1548948"
"2026-02-24","17990491","4933445","6033279","4874668","3664865","2853507","1746760","1776959","1575107"
"2026-02-25","17765573","6017991","6117811","4796054","3668487","3094832","1640029","1479638","1408847"
"2026-02-26","17760671","5891642","6357618","4924564","3846373","2836920","1774068","1423268","1573349"
"2026-02-27","18291630","6634219","6521128","4794118","3774784","2926572","1799987","1621112","1714167"
"2026-02-28","18827212","7090642","7433904","5366190","3880650","2983445","1801481","1695227","1601903"
"2026-03-01","18536069","7173996","7324833","5661684","3975688","3064357","1728199","1772456","1598179"
"2026-03-02","18128062","5492717","6264094","5083356","3758544","2949532","1452084","1657851","1627484"
"2026-03-03","17916643","6134481","5697750","5107357","3562789","2934112","1502153","1441179","1439360"
"2026-03-04","19086141","5775944","6103053","4881009","3819080","2990567","1550621","1487060","1631217"
"2026-03-05","19686466","5857610","5874185","5170224","3524822","2586225","1897081","1522111","1623756"
"2026-03-06","21386856","6538626","5953265","5088610","4036225","3122116","1616368","1724667","1553493"
"2026-03-07","20800380","7104146","6951843","5767225","3894185","3153286","1390452","1723511","1687013"
"2026-03-08","21043939","7438074","7422645","5582730","3794218","3418910","1302251","1770586","1714559"
"2026-03-09","20601927","6524628","5649255","5335370","3828988","3013727","1406732","1694873","1595223"
"2026-03-10","21300670","5951450","6019939","4764380","3851437","2862794","1549387","1730010","1463074"
"2026-03-11","22191661","6747700","5988890","5019913","3803569","2722696","1603572","1586466","1410455"
"2026-03-12","22294049","6789588","5509396","5340588","3926596","2801630","2052752","1797619","1463299"
"2026-03-13","22227163","8347374","5948032","5523131","4475200","3584758","2207195","1546476","1646616"
"2026-03-14","22614553","8666847","6622231","5744310","4245948","3711575","2176564","1699240","1601929"
"2026-03-15","23389787","8069231","7100686","5370593","4283932","3353440","1950384","1755994","1442016"
"2026-03-16","23157172","6521566","5585808","5648665","4277075","3556658","1928375","1615439","1588871"
"2026-03-17","23594129","6925145","5587720","4931290","4181943","3689787","1868235","1579116","1293290"
"2026-03-18","23361455","6779240","5190633","4741408","4313193","3597570","1956840","1538944","1506953"
"2026-03-19","24431642","6566495","5944431","4804716","4511575","3526552","2012306","1550883","1279987"
"2026-03-20","25160913","6898900","5607635","4799347","4806918","3967436","2320681","1530495","1382102"
"2026-03-21","26033165","8240542","6502536","5111755","4655913","4252169","2438595","1732824","1543146"
"2026-03-22","25418936","7421237","6679849","5376153","4589312","4108491","2310592","1713725","1542084"
"2026-03-23","24915682","6778805","5308560","5021396","4900968","4284732","2114893","1917968","1289544"
"2026-03-24","25478947","6613007","5317339","4916156","4587960","4471825","2047671","1552192","1272796"
"2026-03-25","24546375","7016353","5175680","5249637","4375843","4039651","2086202","1526170","1285742"
"2026-03-26","23792068","6802852","5190880","4939115","4388978","3831688","2105942","1464042","1245596"
"2026-03-27","24022663","7151943","5454089","5449388","4390758","4384076","2009699","1445401","1346647"
"2026-03-28","24468883","7488096","6183957","5484535","4397614","4130847","1765644","1925531","1524495"
"2026-03-29","23103742","8135637","6220320","5510539","4464408","4230837","2000811","1749176","1671247"
"2026-03-30","23334304","7322079","5452461","5907973","4171979","4226692","2003635","1821124","1341415"
"2026-03-31","21902732","7653678","5095227","5821590","3994414","3942266","1833583","1796802","1535189"
"2026-04-01","22128177","6976337","5476346","5853634","3880423","4260369","1828839","1789375","1338540"
"2026-04-02","22887713","7909778","5682277","6297233","4226245","4519391","1843157","1889922","1565038"
"2026-04-03","23411941","7918728","7177230","5777674","4466937","4852653","1990872","1992566","1531330"
"2026-04-04","23545557","9105539","6836843","5943200","4319849","4677299","1647325","1966684","1626306"
"2026-04-05","22293363","9168871","6788851","6047402","4280572","4921179","1244267","1753441","1576788"
"2026-04-06","21119472","6842187","5377462","5756012","3576471","4315853","1129463","1585374","1439192"
"2026-04-07","21686791","7105308","4666596","5366181","3812752","4703524","1298846","1413534","1327742"
"2026-04-08","21388022","7547760","5648326","5762087","3863962","5351307","1309667","1551866","1309028"
"2026-04-09","22239861","6811513","5473833","5883782","4028527","5468111","1461158","1608871","1346449"
"2026-04-10","22456646","8321596","5476577","5706165","3969002","5497540","1985129","1588979","1370993"
"2026-04-11","22771640","9367501","6472356","5362266","3868395","5029598","1603451","1785798","1689915"
"2026-04-12","22157848","9220009","6053502","5783789","3960130","4838034","1335184","1864293","1658525"
"2026-04-13","20282316","8371855","5040104","5249527","3270446","5185773","1315918","1562033","1278797"
"2026-04-14","21431419","8608458","4802070","4698057","3701293","5275728","1296502","1440789","1187211"
"2026-04-15","20279141","8259553","4931458","4695898","3341986","5413989","1281865","1536032","1180379"
"2026-04-16","21083004","9338203","5173077","4668961","3674242","4902518","1572707","1298353","1155854"
"2026-04-17","22535337","8767505","5013248","4904482","4027190","5399304","1453111","1469911","1206813"
"2026-04-18","22808351","10843792","5947547","5220752","3888349","4500148","1511099","1545228","1489629"
"2026-04-19","21996159","10065202","6086003","5481226","3937655","4690178","1295632","1656451","1586150"
"2026-04-20","20347847","9296382","5653896","4881607","3642139","5083257","1380598","1502676","1372092"
"2026-04-21","20902784","9251634","6105019","5367950","3584922","5287860","1288046","1635178","1324487"
"2026-04-22","20504948","8941194","5252969","5382673","3506624","5100960","1277157","1650565","1334086"
"2026-04-23","20439797","8836175","5180088","4798811","3567086","5267881","1640071","1471630","1274572"
"2026-04-24","22222272","9954329","5086117","5062306","3811842","5573095","1950673","1580448","1333598"
"2026-04-25","22871708","10474663","6076363","4991647","3928400","5623227","1624357","1762586","1604729"
"2026-04-26","22047691","11133653","6592071","5850173","4085727","5977280","1241216","1615880","1482467"
"2026-04-27","21118754","10959719","5133662","4996910","3342275","5667331","1264854","1406677","1266724"
"2026-04-28","20811416","9622232","4629126","4658133","3368006","6236917","1393986","1441964","1183399"
"2026-04-29","20463892","10414318","4981724","4946700","3488802","5999998","1456524","1545585","1415510"
"2026-04-30","22157448","12346703","4927667","5104292","3702334","5633336","1687666","1528141","1429829"
