"날짜","인도네시아 DAU","베트남 DAU","브라질 DAU","멕시코 DAU","파키스탄 DAU","태국 DAU","알제리 DAU","콜롬비아 DAU","페루 DAU"
"2025-03-02","19670159","8629575","10055468","6085718","4094507","2599522","1675611","2095318","2090969"
"2025-03-03","19604446","6637251","9033142","5570773","3818763","2517179","1466000","1921378","1812787"
"2025-03-04","19095099","6430785","9210887","5148068","3492906","2718005","1561236","1788862","1812858"
"2025-03-05","17998895","6979115","8807008","5567893","3477552","2534858","1861027","1778727","1918734"
"2025-03-06","17863024","6851482","7761966","5421729","3682313","2584159","2182906","1642775","1966610"
"2025-03-07","18748057","7713052","7921292","5554524","3807132","2929939","2638242","1867373","2066097"
"2025-03-08","18632137","8678910","9044335","5915154","3865569","3137072","2437692","2195909","2066028"
"2025-03-09","18456368","8039206","8839642","6315146","3649167","2766049","2138104","2016793","2047780"
"2025-03-10","18034460","6856839","6916346","5255122","3359993","2561145","2350376","1725043","1887043"
"2025-03-11","18028050","6309626","7071610","5187673","3695333","2656175","2131125","1636722","1948221"
"2025-03-12","17976813","6273195","7104165","4819770","3644079","2839514","1960617","1589956","1786451"
"2025-03-13","18029427","6413524","7174622","5468401","3488778","2538025","1942832","1730833","1785224"
"2025-03-14","18632597","7154563","6971719","5602929","3809655","2620820","2480812","1731150","1728348"
"2025-03-15","19185328","8370438","8310730","5577827","4052215","2757319","2225243","1944566","1772291"
"2025-03-16","18717562","7206760","8421866","6010815","4087456","2880010","1971457","1969717","1859169"
"2025-03-17","18717992","6370838","7009240","5479034","3764848","3038462","1839873","1849132","1702400"
"2025-03-18","18949798","6124467","6538308","5032674","3597523","2849555","1975844","1942672","1585318"
"2025-03-19","19659916","6726580","6813159","5081015","3866506","2744221","2053407","1916302","1261461"
"2025-03-20","20506436","6517461","6333813","5280711","3737980","2847286","2293541","1697106","1222674"
"2025-03-21","20628267","6529161","6420019","5535279","3902458","2923401","2305401","1799630","1410358"
"2025-03-22","20772264","7358649","7618002","5686912","4337328","3084442","2247136","1979151","1671037"
"2025-03-23","20308556","8118892","8097075","5706550","4222493","2813398","2091287","2025541","1843230"
"2025-03-24","19382807","6603720","6835536","5308206","3794699","2905012","2167977","1921514","1413718"
"2025-03-25","19424287","6020719","6184156","5049043","3649738","3057435","2258202","1807813","1313281"
"2025-03-26","18952268","6537199","6094230","5372149","3866623","3180160","2249771","1730905","1290867"
"2025-03-27","19772498","6346240","6220803","5429161","3924429","3465485","2374003","1779451","1465300"
"2025-03-28","20411899","6220642","6183983","5653356","4244966","3040215","2222797","1614436","1364041"
"2025-03-29","19926822","7783233","7731690","5924942","4171875","3020645","2178856","1970989","1873783"
"2025-03-30","21282953","7275546","7716356","5412020","3883636","3401337","2161126","1654053","1851203"
"2025-03-31","21382669","5818273","6099684","5058466","4617712","2972490","2317929","1494434","1386698"
"2025-04-01","21294430","6533341","5996876","5487980","4750881","3578696","2084117","1764991","1592561"
"2025-04-02","20934424","7854066","6114084","4956622","4199513","3481004","2102786","1670648","1317865"
"2025-04-03","19745841","6111362","5975719","4981103","4095058","3577805","2251021","1598402","1472820"
"2025-04-04","20479033","6788489","6171728","5224675","4168002","3445629","2046992","1409506","1538594"
"2025-04-05","20103482","7482465","7416911","5684760","4151140","3207552","1824012","1823157","1834139"
"2025-04-06","19370892","7983098","7308418","6062318","3874200","3114662","1298693","1878769","1835452"
"2025-04-07","18163430","7504174","5262724","5032396","3578968","3557732","1336305","1629650","1269918"
"2025-04-08","18815554","6156901","5385221","5193481","3551608","3514399","1512488","1476730","1408313"
"2025-04-09","17476606","6835325","5276968","4800844","3622812","3446562","1355941","1437230","1537462"
"2025-04-10","17753764","6975116","5584430","5333434","3371818","3292799","1363058","1629111","1559306"
"2025-04-11","18332552","6421882","5584060","5595162","3744229","3906524","1623515","1578609","1568866"
"2025-04-12","19442660","7771950","6421588","4916819","3800879","3279955","1549263","1759846","1713207"
"2025-04-13","18480406","7964422","6942019","5355855","3832856","3225290","1361666","1757627","1973047"
"2025-04-14","16925202","6846134","4931012","5230304","3463439","3192697","1450773","1679548","1237096"
"2025-04-15","15704788","6056469","5232748","5105657","3412854","3790158","1236354","1520688","1302094"
"2025-04-16","15971643","6243266","5420307","5124676","3283574","3327235","1326920","1786612","1461855"
"2025-04-17","17386416","5622886","5600284","5145407","3165378","3924951","1386021","1953416","1746197"
"2025-04-18","17652406","6176467","7152425","5628265","3749052","3739361","1466764","1972477","1621378"
"2025-04-19","18009944","7195554","7546930","4854907","3888070","3716469","1471789","1931577","1799005"
"2025-04-20","17073383","6822390","7051955","5036706","3644722","3814599","1134988","2038006","1613587"
"2025-04-21","16413939","5712099","6793627","5392507","3166197","3577212","1206437","1727613","1400656"
"2025-04-22","15411275","5908196","5199566","5244959","3220562","3589423","1197354","1454947","1292354"
"2025-04-23","15213962","5775390","5395188","5532483","3231123","3389507","1124126","1493341","1261835"
"2025-04-24","15851267","6250191","5484941","5370165","3220292","3197473","1407347","1474588","1174266"
"2025-04-25","16204256","7402727","5303752","5378157","3694101","3836280","1661956","1391991","1454712"
"2025-04-26","17050848","7794964","6542688","4908759","3483774","3722601","1373736","1687978","1356845"
"2025-04-27","15887430","7096510","6317394","5438032","3381895","3678747","1125370","1991906","1527089"
"2025-04-28","14731886","6055952","5348879","5004655","2851263","3543357","1235777","1351184","1363751"
"2025-04-29","15082744","7031072","5199531","4888343","3216842","3520112","1269739","1546160","1245473"
"2025-04-30","15263778","8041484","5141624","5198336","3442439","3777354","1342290","1606567","1436516"
"2025-05-01","15915504","7735213","6613251","5689614","3594148","3756636","1516965","1846573","1569276"
"2025-05-02","15224584","7681272","5937382","5356142","3548438","3966536","1409727","1590617","1425245"
"2025-05-03","15336435","7395698","6518766","5303896","3702270","3477259","1380248","1862479","1604011"
"2025-05-04","14848867","6992175","6449869","5430133","3564290","4003836","1239833","1888899","1552795"
"2025-05-05","13619098","6567100","5022152","5476892","2928165","3859794","1219876","1638750","1206938"
"2025-05-06","15523039","6061222","4938546","5149095","2943594","3684692","1251895","1575008","1233146"
"2025-05-07","14851914","6282139","4654115","5104183","3254143","3706223","1216980","1457525","1254158"
"2025-05-08","15202824","6227862","4891989","4947533","2988401","3503182","1195633","1445639","1253921"
"2025-05-09","15095356","7090433","5333768","5289618","3586151","3337095","1409294","1378223","1498278"
"2025-05-10","15780799","7367554","6017074","5062653","3591570","3295050","1351705","1624790","1384071"
"2025-05-11","14880619","7238337","6544324","5736814","3605350","3857916","1074832","1606633","1697399"
"2025-05-12","16105135","7536724","4488756","4916864","3231947","3383781","1146509","1530586","1354203"
"2025-05-13","14666523","6670174","4441302","4987725","3094061","3763192","1202724","1491348","1133482"
"2025-05-14","13883752","7443500","4684891","5011283","3092992","4003805","1235893","1317471","1310665"
"2025-05-15","13786499","8095940","4341455","4748330","3256271","3848771","1351516","1464679","1189283"
"2025-05-16","14074833","8441997","4795681","4820340","3523734","3898783","1325432","1374977","1186414"
"2025-05-17","14495411","8795533","5492783","4971154","3671659","3608664","1115865","1547315","1435451"
"2025-05-18","13966000","8647413","5691082","5208887","3550040","3836035","1087506","1524751","1493874"
"2025-05-19","12979034","7921968","4223142","4871238","2889762","3552447","975789","1508338","1218958"
"2025-05-20","12819164","8018529","4426346","4696471","3170533","3681979","1029997","1468302","1171393"
"2025-05-21","13892769","8212756","5082140","5291784","3453002","3810077","1340016","1421016","1202135"
"2025-05-22","13975022","8672829","5216040","5152028","3643627","3498537","1649053","1721862","1151107"
"2025-05-23","14282313","9202004","5188955","4757099","3756794","3815780","2010283","1645346","1237339"
"2025-05-24","14676944","8947028","6166986","4977096","3837654","3837852","1598687","1770874","1439175"
"2025-05-25","14570870","8426915","6389669","5133325","3711594","3824008","1600657","1696605","1767280"
"2025-05-26","13592585","8778359","4857839","4794907","3488219","3809152","1592492","1553088","1246547"
"2025-05-27","13115939","8522953","4223175","5238473","3435432","3544593","1696778","1472124","1231801"
"2025-05-28","13592894","8831257","4749197","4685455","3756117","3480559","1622349","1392330","1239802"
"2025-05-29","13700268","8437787","4460685","4993026","3555926","3584701","1809710","1498184","1035660"
"2025-05-30","13652714","9245192","4529357","4791024","3623052","3756066","1588014","1670013","1258171"
"2025-05-31","14343453","9125169","5320517","5272004","3678263","3632455","1613507","1663497","1415386"
"2025-06-01","13887107","9845298","6274768","5726216","4187715","3686547","1703011","2065622","1560466"
"2025-06-02","13418252","8981951","5229814","5019892","3678132","3822512","1528516","1822128","1339625"
"2025-06-03","12360959","8937944","4641371","4983578","3850278","3821766","1711984","1516345","1170932"
"2025-06-04","12000640","9713227","4643787","4840530","3734950","3667352","1753294","1574443","1189832"
"2025-06-05","13989507","10127749","4631091","4965327","3945007","3418842","1885158","1578729","1204810"
"2025-06-06","14620115","10414679","4840965","5094356","3949478","3490823","2042536","1483277","1153550"
"2025-06-07","14553083","9572304","5520330","5316580","4520532","3508289","2151602","1644315","1402863"
"2025-06-08","13956115","9859946","6036156","5421965","4423967","3479011","1844673","1922819","1384339"
"2025-06-09","12969882","9912187","4649307","4842082","4263642","3270985","1675951","1517926","1222420"
"2025-06-10","12885097","9918520","4300706","5027173","4166638","3052329","1740037","1593665","1037561"
"2025-06-11","12916243","10226367","4165881","5213993","4087600","2865570","1804532","1495938","1093243"
"2025-06-12","12527842","10166067","4400611","5418776","3828645","3215718","1863947","1555780","1100546"
"2025-06-13","13891075","9525510","4739296","5294199","4186195","4022701","1964613","1635443","1217064"
"2025-06-14","13724146","9464720","5408956","5682681","4153769","3718524","1945003","1768055","1451439"
"2025-06-15","14078555","10166259","5691570","6428088","4118226","4161162","1792404","1922951","1679559"
"2025-06-16","13751500","9504769","4195337","5606621","4030733","3687398","1938422","1702284","1228136"
"2025-06-17","14491637","9473097","5348171","5275370","3724097","3490956","1888398","1644689","1126016"
"2025-06-18","14483780","9152326","6074372","5608422","4035630","3578567","1837245","1717547","1368045"
"2025-06-19","13769971","9642002","6364013","5419201","4320833","3438747","2111084","1593426","1051260"
"2025-06-20","13880015","9042537","5984763","5612001","4398605","3619665","2394530","1784794","1277405"
"2025-06-21","13955634","9606911","6299915","5799711","4062930","3718195","2547821","2044606","1520084"
"2025-06-22","14288065","9087783","6171689","6019758","4106532","3804522","2281321","2092863","1472022"
"2025-06-23","13590886","9232842","5064132","5428433","3700785","3073860","2388157","1858606","1214818"
"2025-06-24","14043043","9619864","4972917","5119417","3866856","3490378","2384680","1704578","1219848"
"2025-06-25","14304092","9982831","4695672","5011349","3821114","3065147","2380324","1731492","1216962"
"2025-06-26","13703231","9327657","4989694","4916647","4202768","3312339","2519326","1683488","1300985"
"2025-06-27","13471867","11055532","5125563","5243955","4362103","3784600","2576817","1741205","1205868"
"2025-06-28","13725810","11060077","5779410","5207961","4240833","3475858","2322790","1831910","1479768"
"2025-06-29","14321790","11427474","5999113","5162300","4151568","3018422","2412093","2025963","1502940"
"2025-06-30","13001474","10296238","5207641","5072658","4078771","2695050","2541272","1986845","1174274"
"2025-07-01","13676243","11549636","5085481","5232121","4094884","2905299","2507142","2006118","1282162"
"2025-07-02","12572321","10855753","5312385","5461292","4056551","3054138","2615907","2036951","1301151"
"2025-07-03","12640433","11262372","5114776","5596627","4143508","3568549","2728352","1894382","1272816"
"2025-07-04","13245206","12109243","5502886","5850113","4519578","3188722","3083363","1783895","1425442"
"2025-07-05","13127613","11011820","6071098","5529712","4449361","3317426","2685428","1718475","1588597"
"2025-07-06","13063136","11114478","6452535","6311398","4462463","2779763","2590748","1887625","1625833"
"2025-07-07","12983134","11100704","5430263","5475067","4204988","2613123","2682765","2061162","1465835"
"2025-07-08","12285523","11197328","5525772","5956792","4286503","3098587","2573811","1918917","1316543"
"2025-07-09","12268778","11468383","5601421","5491520","4450535","2825704","2782551","1803786","1293315"
"2025-07-10","11150015","10678458","5570701","5300626","4181793","3036970","2379036","1659683","1253054"
"2025-07-11","11664391","10510293","5780208","5994395","4333979","2894877","2635700","1958381","1250435"
